,Source Location,Chennai,,,,,
,,,,,,,
,District,KM,Sort based on Max Cut-off of OC for ,Select,Select-all-College & Branches in this location,Weight,Exclude it
,Chennai,0,199,TRUE,TRUE,51,FALSE
,Thiruvallur,40.5,191.01,TRUE,FALSE,54,FALSE
,Chengalpattu,62.8,197.175,FALSE,FALSE,51,FALSE
,Kancheepuram,86.1,193.79,FALSE,FALSE,53,FALSE
,Ranipet,117,177.13,FALSE,FALSE,61,FALSE
,Vellore,139,187.285,FALSE,FALSE,56,FALSE
,Villupuram,167,182.32,FALSE,FALSE,59,FALSE
,Cuddalore,174,184.185,FALSE,FALSE,58,FALSE
,Thiruvannamalai,195,176.625,FALSE,FALSE,62,FALSE
,Tirupattur,231,157.53,FALSE,FALSE,71,FALSE
,Kallakurichi,244,164.535,FALSE,FALSE,68,FALSE
,Krishnagiri,256,187.65,FALSE,FALSE,56,FALSE
,Mayiladuthurai,258,179.845,FALSE,FALSE,60,FALSE
,Perambalur,277,171.955,TRUE,FALSE,64,FALSE
,Nagapattinam,301,177.27,FALSE,FALSE,61,FALSE
,Ariyalur,302,172.595,TRUE,FALSE,64,FALSE
,Dharmapuri,304,184.205,FALSE,FALSE,58,FALSE
,Trichy-Tiruchirappalli,330,186.745,FALSE,FALSE,57,FALSE
,Thiruvarur,335,181.065,FALSE,FALSE,59,FALSE
,Thanjavur,344,183.615,TRUE,TRUE,58,FALSE
,Pudukkottai,381,169.265,TRUE,FALSE,65,TRUE
,Namakkal,391,178.5,FALSE,FALSE,61,TRUE
,Karur,397,183.955,FALSE,FALSE,58,TRUE
,Erode,408,189.815,FALSE,FALSE,55,TRUE
,Thiruppathur,423,153.275,FALSE,FALSE,73,FALSE
,Dindigul,431,182.5,FALSE,FALSE,59,TRUE
,Sivagangai,459,193,FALSE,FALSE,54,TRUE
,Madurai,463,195.02,FALSE,FALSE,52,TRUE
,Tiruppur,464,183.38,FALSE,FALSE,58,TRUE
,Coimbatore,507,197.5,TRUE,FALSE,51,TRUE
,Theni,508,181.415,FALSE,FALSE,59,TRUE
,Ramanathapuram,508,172.585,FALSE,FALSE,64,TRUE
,Virudhunagar,519,189.12,FALSE,FALSE,55,TRUE
,Thoothukudi,604,186.01,FALSE,FALSE,57,TRUE
,Tirunelveli,624,190.83,FALSE,FALSE,55,TRUE
,Tenkasi,624,162.42,FALSE,FALSE,69,TRUE
,Kanyakumari,707,184.46,FALSE,FALSE,58,TRUE
,Salem,,192.295,FALSE,FALSE,54,TRUE
,Nilgiris,,163.395,FALSE,FALSE,68,TRUE